,L,R,U,D,ATK,SPC,JMP,DGD,STR
71,0.018197065219283104,0.17502571642398834,0.17610159516334534,0.011344047263264656,0.003639552276581526,0.1407541185617447,0.02215222641825676,0.023511340841650963,0.0012655744794756174
72,0.017834791913628578,0.1722840666770935,0.17369966208934784,0.01093616709113121,0.003490602131932974,0.1394653022289276,0.022223172709345818,0.023255672305822372,0.0011997341644018888
73,0.01746215671300888,0.16936077177524567,0.1710030436515808,0.01050282921642065,0.003329923842102289,0.1383722424507141,0.022265974432229996,0.023061584681272507,0.0011317617027089
74,0.01711631938815117,0.16639912128448486,0.16859813034534454,0.01006840169429779,0.0031741971615701914,0.13768307864665985,0.022054271772503853,0.02289963886141777,0.001067009987309575
75,0.01690456084907055,0.16464070975780487,0.16738341748714447,0.009801650419831276,0.0030803531408309937,0.13748455047607422,0.02173791266977787,0.02286200039088726,0.0010276727844029665
76,0.01673268899321556,0.16346246004104614,0.16644078493118286,0.009571303613483906,0.003015281865373254,0.13680513203144073,0.021754732355475426,0.022807437926530838,0.0009988538222387433
77,0.01679285801947117,0.16417618095874786,0.16679924726486206,0.009614922106266022,0.0030471310019493103,0.13683949410915375,0.021934235468506813,0.022935371845960617,0.0010100684594362974
78,0.016863679513335228,0.16524913907051086,0.16744334995746613,0.009687187150120735,0.0030901385471224785,0.13672108948230743,0.022108690813183784,0.02301277592778206,0.0010284773306921124
79,0.01707557402551174,0.16771240532398224,0.1691264808177948,0.009946283884346485,0.0032041261438280344,0.1366405487060547,0.022466078400611877,0.0231690164655447,0.0010749613866209984
80,0.017421362921595573,0.1709473580121994,0.17194630205631256,0.010392457246780396,0.0033705199602991343,0.13739484548568726,0.022371534258127213,0.02341024950146675,0.0011467208387330174
81,0.017738493159413338,0.17415402829647064,0.17484815418720245,0.010827969759702682,0.003539765952154994,0.1377006620168686,0.02233697846531868,0.02355836145579815,0.0012186603853479028
82,0.018031708896160126,0.17665088176727295,0.17746315896511078,0.01125748734921217,0.003681509057059884,0.1387137770652771,0.02188916690647602,0.02367149107158184,0.0012836129171773791
83,0.01839306578040123,0.17869959771633148,0.17929621040821075,0.011798222549259663,0.0038140988908708096,0.14111833274364471,0.021371562033891678,0.023916877806186676,0.001347833895124495
84,0.018547041341662407,0.1785394549369812,0.179135262966156,0.011981994844973087,0.003831526031717658,0.14258238673210144,0.021188806742429733,0.024098331108689308,0.0013544163666665554
85,0.018236486241221428,0.17550086975097656,0.17666994035243988,0.011568652465939522,0.0036737045738846064,0.14184826612472534,0.021183418110013008,0.023874303326010704,0.0012789365136995912
86,0.01774183288216591,0.17161670327186584,0.17320676147937775,0.010937477461993694,0.0034618834033608437,0.13996265828609467,0.021460270509123802,0.02356099523603916,0.0011802258668467402
87,0.017181668430566788,0.1669287383556366,0.16931062936782837,0.010160772129893303,0.003216202836483717,0.13796377182006836,0.021591465920209885,0.023278553038835526,0.0010692027863115072
88,0.01678335852921009,0.16347746551036835,0.16670288145542145,0.009648426435887814,0.003035560017451644,0.13705779612064362,0.021324757486581802,0.023174352943897247,0.0009952072286978364
89,0.016483992338180542,0.16108021140098572,0.16468173265457153,0.009251088835299015,0.002911434741690755,0.1358477771282196,0.021451670676469803,0.02308887057006359,0.0009431823855265975
90,0.016358885914087296,0.16031649708747864,0.16388681530952454,0.009069065563380718,0.0028703801799565554,0.13487888872623444,0.021745549514889717,0.02307325415313244,0.0009247885900549591
91,0.016362614929676056,0.16050823032855988,0.1639566868543625,0.009098272770643234,0.002877650083974004,0.1351306289434433,0.021673494949936867,0.02307732403278351,0.0009315028437413275
92,0.01642109826207161,0.1620946228504181,0.16478900611400604,0.00923416018486023,0.0029334407299757004,0.13474959135055542,0.021985728293657303,0.023027092218399048,0.0009600176126696169
93,0.016618359833955765,0.16493095457553864,0.16679641604423523,0.009527753107249737,0.0030510970391333103,0.1348598450422287,0.022174175828695297,0.023028187453746796,0.0010145376436412334
94,0.01705814339220524,0.16937582194805145,0.17035190761089325,0.0101394047960639,0.0032624744344502687,0.13590562343597412,0.02218928560614586,0.02328411489725113,0.0011104911100119352
95,0.017537476494908333,0.17353862524032593,0.17419366538524628,0.010777417570352554,0.0034865839406847954,0.13728635013103485,0.021921329200267792,0.02352512814104557,0.0012078528525307775
96,0.017915189266204834,0.17622821033000946,0.1768888384103775,0.01132106315344572,0.003649243153631687,0.13898569345474243,0.021449528634548187,0.023680517449975014,0.0012815051013603806
97,0.018228398635983467,0.1779593676328659,0.17862527072429657,0.011839897371828556,0.0037618684582412243,0.1414097547531128,0.02078939974308014,0.02383430115878582,0.0013396217254921794
98,0.018353505060076714,0.17798513174057007,0.17865225672721863,0.012068727985024452,0.003782674903050065,0.14298732578754425,0.020470036193728447,0.023915641009807587,0.0013503149384632707
99,0.018093492835760117,0.17524880170822144,0.17626871168613434,0.011673524044454098,0.0036485844757407904,0.141966313123703,0.02072516828775406,0.023757413029670715,0.0012793196365237236
100,0.01760946214199066,0.17092671990394592,0.17273779213428497,0.010950127616524696,0.003424024907872081,0.14007708430290222,0.020917892456054688,0.023527389392256737,0.0011696139117702842
101,0.017074622213840485,0.16602717339992523,0.16884618997573853,0.0102026192471385,0.003173010190948844,0.13885436952114105,0.020731741562485695,0.023330606520175934,0.001058292225934565
102,0.01659761369228363,0.16211985051631927,0.16592895984649658,0.009604964405298233,0.0029680945444852114,0.13767775893211365,0.02040759101510048,0.023163679987192154,0.0009745613788254559
103,0.016429603099822998,0.16038362681865692,0.16438916325569153,0.009331089444458485,0.002887316280975938,0.13695944845676422,0.020539287477731705,0.023265335708856583,0.0009376120870001614
104,0.016319340094923973,0.1594536006450653,0.1636517196893692,0.009208557195961475,0.0028425664640963078,0.1367822140455246,0.02039128914475441,0.0232857633382082,0.0009219618514180183
105,0.016222957521677017,0.1594754010438919,0.16346290707588196,0.0091670798137784,0.0028277456294745207,0.13635969161987305,0.02039766125380993,0.023201782256364822,0.0009213401353918016
106,0.016201701015233994,0.16086958348751068,0.16428078711032867,0.009227112866938114,0.00286549748852849,0.13569359481334686,0.02060072310268879,0.02304091304540634,0.0009423973388038576
107,0.01650412753224373,0.1648465096950531,0.16727755963802338,0.009670997969806194,0.003031994914636016,0.13602688908576965,0.020733822137117386,0.023158811032772064,0.0010182830737903714
108,0.017073798924684525,0.17026634514331818,0.17180098593235016,0.010374494828283787,0.003296253504231572,0.1370021402835846,0.020902859047055244,0.023529311642050743,0.0011317617027089
109,0.01769185997545719,0.17516019940376282,0.1760045439004898,0.011108175851404667,0.0035722011234611273,0.13843917846679688,0.02102586068212986,0.023913415148854256,0.0012452643131837249
110,0.01803247258067131,0.17741437256336212,0.1785935014486313,0.01153480727225542,0.003716123988851905,0.13976606726646423,0.020612983033061028,0.023999210447072983,0.0013066099490970373
